repetition,machine,benchmark,job,read_bw,write_bw,read_iops,write_iops,elapsed
5,issdm-47,"fio","rw-sdb-4k-seq",2382,2384,595.65,596.21,36
5,issdm-14,"fio","rw-sdb-4k-seq",2401,2403,600.46,600.93,36
5,issdm-38,"fio","rw-sdb-4k-seq",2368,2373,592.15,593.35,36
5,issdm-20,"fio","rw-sdb-4k-seq",2416,2413,604.19,603.49,36
5,issdm-27,"fio","rw-sdb-4k-seq",2374,2377,593.51,594.28,36
5,issdm-3,"fio","rw-sdb-4k-seq",2406,2405,601.53,601.29,36
5,issdm-16,"fio","rw-sdb-4k-seq",2368,2372,592.21,593.15,36
5,issdm-29,"fio","rw-sdb-4k-seq",2352,2357,588.16,589.46,36
5,issdm-1,"fio","rw-sdb-4k-seq",2443,2441,610.98,610.34,36
5,issdm-34,"fio","rw-sdb-4k-seq",2376,2380,594.24,595.17,36
5,issdm-11,"fio","rw-sdb-4k-seq",2414,2414,603.61,603.54,36
5,issdm-24,"fio","rw-sdb-4k-seq",2345,2350,586.27,587.63,36
5,issdm-0,"fio","rw-sdb-4k-seq",2417,2414,604.48,603.68,36
5,issdm-6,"fio","rw-sdb-4k-seq",2407,2407,601.99,601.89,36
5,issdm-40,"fio","rw-sdb-4k-seq",2391,2393,597.78,598.38,36
3,issdm-47,"fio","rw-sdb-4k-seq",2372,2376,593.06,594.16,36
3,issdm-14,"fio","rw-sdb-4k-seq",2400,2402,600.15,600.75,36
3,issdm-38,"fio","rw-sdb-4k-seq",2404,2406,601.15,601.58,36
3,issdm-20,"fio","rw-sdb-4k-seq",2441,2439,610.47,609.81,36
3,issdm-27,"fio","rw-sdb-4k-seq",2379,2382,594.78,595.61,36
3,issdm-3,"fio","rw-sdb-4k-seq",2406,2405,601.55,601.28,36
3,issdm-16,"fio","rw-sdb-4k-seq",2399,2402,599.91,600.55,36
3,issdm-29,"fio","rw-sdb-4k-seq",2373,2377,593.47,594.34,36
3,issdm-1,"fio","rw-sdb-4k-seq",2451,2447,612.92,611.99,36
3,issdm-34,"fio","rw-sdb-4k-seq",2383,2387,595.92,596.75,36
3,issdm-11,"fio","rw-sdb-4k-seq",2416,2417,604.25,604.45,36
3,issdm-24,"fio","rw-sdb-4k-seq",2427,2426,606.77,606.64,36
3,issdm-0,"fio","rw-sdb-4k-seq",2381,2380,595.31,595.18,36
3,issdm-6,"fio","rw-sdb-4k-seq",2401,2399,600.34,599.91,36
3,issdm-40,"fio","rw-sdb-4k-seq",2388,2390,597.05,597.62,36
4,issdm-47,"fio","rw-sdb-4k-seq",2434,2431,608.53,607.93,36
4,issdm-14,"fio","rw-sdb-4k-seq",2363,2367,590.98,591.95,36
4,issdm-38,"fio","rw-sdb-4k-seq",2356,2361,589.01,590.31,36
4,issdm-20,"fio","rw-sdb-4k-seq",2411,2410,602.77,602.64,36
4,issdm-27,"fio","rw-sdb-4k-seq",2408,2407,602.05,601.78,36
4,issdm-3,"fio","rw-sdb-4k-seq",2414,2414,603.51,603.57,36
4,issdm-16,"fio","rw-sdb-4k-seq",2372,2375,593.05,593.98,36
4,issdm-29,"fio","rw-sdb-4k-seq",2422,2420,605.51,605.18,36
4,issdm-1,"fio","rw-sdb-4k-seq",2418,2417,604.54,604.27,36
4,issdm-34,"fio","rw-sdb-4k-seq",2405,2407,601.26,601.86,36
4,issdm-11,"fio","rw-sdb-4k-seq",2403,2404,601,601.13,36
4,issdm-24,"fio","rw-sdb-4k-seq",2364,2368,591.18,592.01,36
4,issdm-0,"fio","rw-sdb-4k-seq",2402,2403,600.51,600.87,36
4,issdm-6,"fio","rw-sdb-4k-seq",2441,2439,610.49,609.79,36
4,issdm-40,"fio","rw-sdb-4k-seq",2409,2410,602.28,602.61,36
1,issdm-47,"fio","rw-sdb-4k-seq",2425,2426,606.41,606.55,36
1,issdm-14,"fio","rw-sdb-4k-seq",2434,2433,608.59,608.33,36
1,issdm-38,"fio","rw-sdb-4k-seq",2423,2422,605.85,605.58,36
1,issdm-20,"fio","rw-sdb-4k-seq",2494,2486,623.74,621.7,36
1,issdm-27,"fio","rw-sdb-4k-seq",2375,2379,593.78,594.85,36
1,issdm-3,"fio","rw-sdb-4k-seq",2419,2417,604.82,604.49,36
1,issdm-16,"fio","rw-sdb-4k-seq",2409,2409,602.25,602.49,36
1,issdm-29,"fio","rw-sdb-4k-seq",2432,2429,608.13,607.49,36
1,issdm-1,"fio","rw-sdb-4k-seq",2457,2454,614.37,613.7,36
1,issdm-34,"fio","rw-sdb-4k-seq",2406,2408,601.58,602.21,36
1,issdm-11,"fio","rw-sdb-4k-seq",2404,2404,601.01,601.25,36
1,issdm-24,"fio","rw-sdb-4k-seq",2387,2390,596.84,597.71,36
1,issdm-0,"fio","rw-sdb-4k-seq",2455,2452,613.78,613.25,36
1,issdm-6,"fio","rw-sdb-4k-seq",2481,2477,620.36,619.33,36
1,issdm-40,"fio","rw-sdb-4k-seq",2400,2402,600.06,600.63,36
2,issdm-47,"fio","rw-sdb-4k-seq",2416,2413,604.15,603.48,36
2,issdm-14,"fio","rw-sdb-4k-seq",2418,2418,604.53,604.53,36
2,issdm-38,"fio","rw-sdb-4k-seq",2401,2404,600.38,601.05,36
2,issdm-20,"fio","rw-sdb-4k-seq",2473,2467,618.35,616.81,36
2,issdm-27,"fio","rw-sdb-4k-seq",2431,2428,607.79,607.19,36
2,issdm-3,"fio","rw-sdb-4k-seq",2467,2466,616.91,616.51,36
2,issdm-16,"fio","rw-sdb-4k-seq",2427,2425,606.86,606.49,36
2,issdm-29,"fio","rw-sdb-4k-seq",2427,2427,606.87,606.91,36
2,issdm-1,"fio","rw-sdb-4k-seq",2498,2490,624.51,622.75,36
2,issdm-34,"fio","rw-sdb-4k-seq",2402,2404,600.71,601.04,36
2,issdm-11,"fio","rw-sdb-4k-seq",2402,2404,600.65,601.21,36
2,issdm-24,"fio","rw-sdb-4k-seq",2431,2431,607.93,607.89,36
2,issdm-0,"fio","rw-sdb-4k-seq",2393,2392,598.47,598.11,36
2,issdm-6,"fio","rw-sdb-4k-seq",2468,2465,617.24,616.44,36
2,issdm-40,"fio","rw-sdb-4k-seq",2442,2440,610.51,610.24,36
